query,verdict,score,demand,gap,trend,views_p75,views_max,n_over_100k,distinct_channels_over_100k,low_effort_ratio,median_duration_sec,n_serious_longform,best_serious_views,ai_angle_ratio,reasons
オーパーツ,狙う,0.5462,0.9322,0.8889,0.6000,518747,6358465,32,18,0.683,1293,0,0,0.000,需要あり×空白あり（低品質率=68%／中央値21分）
未解読文字,狙う,0.5402,0.7665,0.9167,0.6444,104248,2978896,16,11,0.700,1038,1,3,0.033,需要あり×空白あり（低品質率=70%／中央値17分）
ヴォイニッチ手稿,狙う,0.4824,0.8266,0.6334,0.6667,186569,5723529,22,21,0.733,1234,1,1493216,0.050,需要あり×空白あり（低品質率=73%／中央値20分）
死海文書,条件付き,0.4211,0.8694,0.5667,0.6000,282428,6786245,20,17,0.717,1203,3,30524,0.000,需要あり×空白あり（低品質率=72%／中央値20分）
地上絵,条件付き,0.3627,0.7918,0.4000,0.6444,133158,3227319,16,16,0.450,690,2,48693,0.033,
将門塚,条件付き,0.3226,0.8272,0.3495,0.6000,187587,1479493,25,20,0.417,714,2,802574,0.000,
年間隠,見送り,0.2360,0.7733,0.2000,0.6000,111331,110929059,17,16,0.750,1565,5,13474,0.000,"真面目な長尺が既に埋めている（5本・最高13,474再生）"
月面着陸,見送り,0.1567,0.9440,0.0722,0.6000,581570,5387188,35,26,0.367,680,5,4072818,0.000,"真面目な長尺が既に埋めている（5本・最高4,072,818再生）"
ザビエル,見送り,0.1101,0.7573,0.0444,0.6000,95429,101872520,15,14,0.283,568,5,470320,0.000,"真面目な長尺が既に埋めている（5本・最高470,320再生）"
法隆寺,見送り,0.1091,0.7434,0.0444,0.6000,83383,19144028,12,10,0.217,611,4,104904,0.000,"真面目な長尺が既に埋めている（4本・最高104,904再生）"
ストーンヘンジ,見送り,0.0909,0.6409,0.0333,0.6222,30903,35724359,9,7,0.250,612,5,812965,0.017,"真面目な長尺が既に埋めている（5本・最高812,965再生）"
ピラミッド,見送り,0.0000,0.9824,0.0000,0.6222,843454,263992063,44,29,0.583,1740,10,2125851,0.017,"真面目な長尺が既に埋めている（10本・最高2,125,851再生）"
シュメール,見送り,0.0000,0.8920,0.0000,0.6000,351501,2106885,35,26,0.683,1678,7,1206920,0.000,"真面目な長尺が既に埋めている（7本・最高1,206,920再生）"
縄文人,見送り,0.0000,0.9136,0.0000,0.6000,433207,2754155,37,32,0.450,1496,13,2754155,0.000,"真面目な長尺が既に埋めている（13本・最高2,754,155再生）"
キリスト,見送り,0.0000,0.9337,0.0000,0.6000,526378,1954452,44,33,0.367,2148,25,580136,0.000,"真面目な長尺が既に埋めている（25本・最高580,136再生）"
スフィンクス,見送り,0.0000,0.8505,0.0000,0.6000,235207,10604106,26,19,0.583,1345,8,2840161,0.000,"真面目な長尺が既に埋めている（8本・最高2,840,161再生）"
アトランティス,見送り,0.0000,1.0000,0.0000,0.6222,1067306,142597210,37,32,0.250,938,12,32227476,0.017,"真面目な長尺が既に埋めている（12本・最高32,227,476再生）"
古事記,見送り,0.0000,0.8700,0.0000,0.6000,283979,3205383,34,23,0.250,2223,22,3205383,0.000,"真面目な長尺が既に埋めている（22本・最高3,205,383再生）"
アポロ計画,見送り,0.0000,0.9055,0.0000,0.6000,400673,6503679,30,25,0.617,1153,9,5108047,0.000,"真面目な長尺が既に埋めている（9本・最高5,108,047再生）"
