query,verdict,score,demand,gap,trend,views_p75,views_max,n_over_100k,distinct_channels_over_100k,low_effort_ratio,median_duration_sec,n_serious_longform,best_serious_views,ai_angle_ratio,reasons
大洪水,見送り,0.0000,0.8358,0.0000,0.6000,204048,7828136,21,19,0.283,941,11,576778,0.000,"真面目な長尺が既に埋めている（11本・最高576,778再生）"
インダス,見送り,0.0000,0.6539,0.0000,0.6000,35069,1828078,12,11,0.300,765,6,1681540,0.000,"真面目な長尺が既に埋めている（6本・最高1,681,540再生）"
モンゴル,見送り,0.0000,0.9854,0.0000,0.6000,867998,143589378,43,31,0.250,1733,22,8621565,0.000,"真面目な長尺が既に埋めている（22本・最高8,621,565再生）"
邪馬台国,見送り,0.0000,0.8276,0.0000,0.6000,188392,951818,22,18,0.417,1611,15,951818,0.000,"真面目な長尺が既に埋めている（15本・最高951,818再生）"
太陽系,見送り,0.0000,0.9566,0.0000,0.6000,656849,28522950,33,23,0.467,1677,12,2121492,0.000,"真面目な長尺が既に埋めている（12本・最高2,121,492再生）"
ギョベクリ,見送り,0.0000,0.5095,0.0000,0.6222,31501,1944146,4,4,0.550,916,8,18795,0.017,"真面目な長尺が既に埋めている（8本・最高18,795再生）"
粘土板,見送り,0.0000,0.4927,0.0000,0.6222,7364,1126937,7,7,0.300,850,6,182454,0.017,"真面目な長尺が既に埋めている（6本・最高182,454再生）"
物理学,見送り,0.0000,1.0000,0.0000,0.6000,1606414,3147926,51,18,0.383,3050,32,3147926,0.000,"真面目な長尺が既に埋めている（32本・最高3,147,926再生）"
バチカン,見送り,0.0000,0.8542,0.0000,0.6000,243853,5914333,22,20,0.211,1154,18,2771011,0.000,"真面目な長尺が既に埋めている（18本・最高2,771,011再生）"
アマゾン,見送り,0.0000,0.8597,0.0000,0.6222,256993,20084360,21,19,0.117,1327,21,1986182,0.017,"真面目な長尺が既に埋めている（21本・最高1,986,182再生）"
ネアンデルタール,見送り,0.0000,0.7884,0.0000,0.6000,128904,2115151,18,14,0.400,937,7,993006,0.000,"真面目な長尺が既に埋めている（7本・最高993,006再生）"
トンネル,見送り,0.0000,1.0000,0.0000,0.6000,1051557,19171300,39,36,0.133,307,7,2763974,0.000,"真面目な長尺が既に埋めている（7本・最高2,763,974再生）"
マチュピチュ,見送り,0.0000,0.8047,0.0000,0.6000,150885,1369025,18,14,0.233,1200,16,1240771,0.000,"真面目な長尺が既に埋めている（16本・最高1,240,771再生）"
遺伝子,見送り,0.0000,0.7903,0.0000,0.6000,131262,1998814,20,17,0.133,725,6,1162690,0.000,"真面目な長尺が既に埋めている（6本・最高1,162,690再生）"
坂本龍馬,見送り,0.0000,0.8468,0.0000,0.6000,226908,1582937,29,23,0.317,1048,7,226908,0.000,"真面目な長尺が既に埋めている（7本・最高226,908再生）"
国家機密,見送り,0.0000,0.6918,0.0000,0.6000,50588,1278884,10,8,0.217,959,7,724005,0.000,"真面目な長尺が既に埋めている（7本・最高724,005再生）"
ブラックホール,見送り,0.0000,0.9994,0.0000,0.6000,993833,29260422,41,27,0.283,1249,14,2060845,0.000,"真面目な長尺が既に埋めている（14本・最高2,060,845再生）"
海底遺跡,見送り,0.0000,0.7563,0.0000,0.6222,94500,2618288,13,10,0.433,1047,9,223496,0.017,"真面目な長尺が既に埋めている（9本・最高223,496再生）"
不都合,見送り,0.0000,0.7739,0.0000,0.6444,112021,9139093,16,15,0.167,821,7,548689,0.033,"真面目な長尺が既に埋めている（7本・最高548,689再生）"
