query,verdict,score,demand,gap,trend,views_p75,views_max,n_over_100k,distinct_channels_over_100k,low_effort_ratio,median_duration_sec,n_serious_longform,best_serious_views,ai_angle_ratio,reasons
ヴォイニッチ手稿,狙う,0.5332,0.8531,0.6198,0.7333,241054,5729381,23,23,0.733,1198,2,1592295,0.100,需要あり×空白あり（低品質率=73%／中央値19分）
オーパーツ,狙う,0.5180,0.9656,0.7719,0.6000,716978,6369178,35,20,0.683,1293,1,549914,0.000,需要あり×空白あり（低品質率=68%／中央値21分）
オアスペ,狙う,0.5120,0.7283,1.0000,0.6000,72016,1680984,15,9,0.850,1457,1,8304,0.000,需要あり×空白あり（低品質率=85%／中央値24分）
死海文書,狙う,0.4509,0.8752,0.6000,0.6222,298686,6789888,24,19,0.750,1276,3,30635,0.017,需要あり×空白あり（低品質率=75%／中央値21分）
行基図,条件付き,0.3558,0.4088,0.8000,0.6222,6230,1024361,5,5,0.833,1439,2,441,0.017,
将門塚,見送り,0.2719,0.8214,0.2500,0.6000,177498,1491508,22,17,0.400,686,3,821306,0.000,
海底遺跡,見送り,0.2566,0.8502,0.2000,0.6222,234378,4047292,23,19,0.450,627,4,234378,0.017,"真面目な長尺が既に埋めている（4本・最高234,378再生）"
地上絵,見送り,0.2565,0.7921,0.2000,0.6444,133595,5887220,16,15,0.450,726,4,143768,0.033,"真面目な長尺が既に埋めている（4本・最高143,768再生）"
シュメール,見送り,0.2489,0.8851,0.1944,0.6000,328852,2108036,35,25,0.733,1617,5,175615,0.000,"真面目な長尺が既に埋めている（5本・最高175,615再生）"
アヌンナキ,見送り,0.2363,0.7752,0.2000,0.6000,113454,4193002,16,12,0.783,1407,5,57271,0.000,"真面目な長尺が既に埋めている（5本・最高57,271再生）"
スフィンクス,見送り,0.2257,0.8214,0.1722,0.6000,177416,10640418,21,17,0.667,1617,5,2103173,0.000,"真面目な長尺が既に埋めている（5本・最高2,103,173再生）"
月面着陸,見送り,0.1404,0.8956,0.0611,0.6000,363800,6505987,33,25,0.333,556,5,4078910,0.000,"真面目な長尺が既に埋めている（5本・最高4,078,910再生）"
仁徳天皇陵,見送り,0.1365,0.7759,0.0667,0.6000,114167,1260040,16,14,0.350,979,5,1019032,0.000,"真面目な長尺が既に埋めている（5本・最高1,019,032再生）"
ストーンヘンジ,見送り,0.1146,0.6569,0.0556,0.6000,36101,35728641,11,9,0.317,598,5,815108,0.000,"真面目な長尺が既に埋めている（5本・最高815,108再生）"
法隆寺,見送り,0.0934,0.7267,0.0333,0.6000,70962,19144209,9,7,0.200,533,4,105106,0.000,"真面目な長尺が既に埋めている（4本・最高105,106再生）"
ピラミッド,見送り,0.0000,1.0000,0.0000,0.6222,1147600,264973190,44,28,0.583,1738,10,2930680,0.017,"真面目な長尺が既に埋めている（10本・最高2,930,680再生）"
縄文人,見送り,0.0000,0.9250,0.0000,0.6000,483724,2754771,37,28,0.450,1538,13,2754771,0.000,"真面目な長尺が既に埋めている（13本・最高2,754,771再生）"
キリスト,見送り,0.0000,0.9460,0.0000,0.6000,592682,1966131,43,35,0.283,1948,26,777845,0.000,"真面目な長尺が既に埋めている（26本・最高777,845再生）"
大洪水,見送り,0.0000,0.8323,0.0000,0.6000,197257,7829950,21,20,0.300,838,7,577257,0.000,"真面目な長尺が既に埋めている（7本・最高577,257再生）"
