query,verdict,score,demand,gap,trend,views_p75,views_max,n_over_100k,distinct_channels_over_100k,low_effort_ratio,median_duration_sec,n_serious_longform,best_serious_views,ai_angle_ratio,reasons
アポロ計画,見送り,0.0000,0.9107,0.0000,0.6000,421286,6505987,33,27,0.583,1018,8,5108189,0.000,"真面目な長尺が既に埋めている（8本・最高5,108,189再生）"
アトランティス,見送り,0.0000,1.0000,0.0000,0.6222,2894679,233453520,39,32,0.250,751,9,32239866,0.017,"真面目な長尺が既に埋めている（9本・最高32,239,866再生）"
粘土板,見送り,0.0000,0.5356,0.0000,0.6444,11150,1137249,8,7,0.283,814,8,182569,0.033,"真面目な長尺が既に埋めている（8本・最高182,569再生）"
ギョベクリ,見送り,0.0000,0.6857,0.0000,0.6222,47684,12914765,9,9,0.517,1193,10,12914765,0.017,"真面目な長尺が既に埋めている（10本・最高12,914,765再生）"
ツタンカーメン,見送り,0.0000,0.8654,0.0000,0.6000,271691,4718009,26,14,0.250,529,8,1284101,0.000,"真面目な長尺が既に埋めている（8本・最高1,284,101再生）"
遺伝子,見送り,0.0000,0.7768,0.0000,0.6000,115195,2928648,17,17,0.117,730,7,1168531,0.000,"真面目な長尺が既に埋めている（7本・最高1,168,531再生）"
古事記,見送り,0.0000,0.8703,0.0000,0.6222,284841,3226161,30,20,0.300,5361,28,3226161,0.017,"真面目な長尺が既に埋めている（28本・最高3,226,161再生）"
インダス,見送り,0.0000,0.6769,0.0000,0.6000,43778,1828341,13,12,0.283,1104,11,1684926,0.000,"真面目な長尺が既に埋めている（11本・最高1,684,926再生）"
不都合,見送り,0.0000,0.7575,0.0000,0.6452,95618,9141658,14,13,0.119,662,6,549250,0.034,"真面目な長尺が既に埋めている（6本・最高549,250再生）"
不気味,見送り,0.0000,0.9651,0.0000,0.6222,713047,12019048,44,30,0.667,1408,8,4862280,0.017,"真面目な長尺が既に埋めている（8本・最高4,862,280再生）"
完全一致,見送り,0.0000,0.7331,0.0000,0.6000,75466,6105206,12,11,0.250,594,8,6105206,0.000,"真面目な長尺が既に埋めている（8本・最高6,105,206再生）"
太陽系,見送り,0.0000,0.9466,0.0000,0.6000,596504,16647554,34,23,0.433,2046,15,2123460,0.000,"真面目な長尺が既に埋めている（15本・最高2,123,460再生）"
モンゴル,見送り,0.0000,0.9338,0.0000,0.6000,526679,79338371,34,27,0.167,1753,29,1765776,0.000,"真面目な長尺が既に埋めている（29本・最高1,765,776再生）"
アームストロング,見送り,0.0000,0.9891,0.0000,0.6000,899643,97465377,36,32,0.100,279,6,15606314,0.000,"真面目な長尺が既に埋めている（6本・最高15,606,314再生）"
物理学,見送り,0.0000,1.0000,0.0000,0.6000,1612893,3441888,49,18,0.383,3523,34,3163286,0.000,"真面目な長尺が既に埋めている（34本・最高3,163,286再生）"
バチカン,見送り,0.0000,0.8384,0.0000,0.6000,209171,6104228,21,20,0.246,1095,18,2775725,0.000,"真面目な長尺が既に埋めている（18本・最高2,775,725再生）"
年間隠,見送り,0.0000,0.9177,0.0000,0.6000,450608,4205796,22,18,0.717,1198,8,86410,0.000,"真面目な長尺が既に埋めている（8本・最高86,410再生）"
アインシュタイン,見送り,0.0000,0.9128,0.0000,0.6000,429924,5338533,35,23,0.183,862,15,4001512,0.000,"真面目な長尺が既に埋めている（15本・最高4,001,512再生）"
アマゾン,見送り,0.0000,0.9406,0.0000,0.6000,562418,43470071,29,26,0.233,1105,17,43470071,0.000,"真面目な長尺が既に埋めている（17本・最高43,470,071再生）"
ネアンデルタール,見送り,0.0000,0.7954,0.0000,0.6000,137993,5483355,22,16,0.417,1078,10,2344779,0.000,"真面目な長尺が既に埋めている（10本・最高2,344,779再生）"
マチュピチュ,見送り,0.0000,0.8050,0.0000,0.6000,151418,3574462,19,15,0.233,1006,14,1248334,0.000,"真面目な長尺が既に埋めている（14本・最高1,248,334再生）"
極秘計画,見送り,0.0000,0.2667,0.0000,0.6000,2811,726255,4,4,0.333,585,13,346866,0.000,"真面目な長尺が既に埋めている（13本・最高346,866再生）"
ザビエル,見送り,0.0000,0.7575,0.0000,0.6222,95598,21408035,15,14,0.300,612,6,470647,0.017,"真面目な長尺が既に埋めている（6本・最高470,647再生）"
邪馬台国,見送り,0.0000,0.8428,0.0000,0.6000,218268,1740755,25,19,0.417,1778,15,1740755,0.000,"真面目な長尺が既に埋めている（15本・最高1,740,755再生）"
数百万人,見送り,0.0000,1.0000,0.0000,0.6000,1289544,8009649,53,43,0.000,431,14,8009649,0.000,"真面目な長尺が既に埋めている（14本・最高8,009,649再生）"
ブラックホール,見送り,0.0000,0.9853,0.0000,0.6000,867688,29324945,40,27,0.267,1150,15,2125840,0.000,"真面目な長尺が既に埋めている（15本・最高2,125,840再生）"
パラレルワールド,見送り,0.0000,0.9555,0.0000,0.6000,649876,8132901,40,34,0.567,1623,9,1779890,0.000,"真面目な長尺が既に埋めている（9本・最高1,779,890再生）"
坂本龍馬,見送り,0.0000,0.8481,0.0000,0.6000,229659,1584325,29,22,0.317,1077,6,515414,0.000,"真面目な長尺が既に埋めている（6本・最高515,414再生）"
