query,verdict,score,demand,gap,trend,views_p75,views_max,n_over_100k,distinct_channels_over_100k,low_effort_ratio,median_duration_sec,n_serious_longform,best_serious_views,ai_angle_ratio,reasons
ヴォイニッチ手稿,狙う,0.5807,0.8820,0.6697,0.7556,319163,5718830,24,24,0.817,1308,2,1372896,0.117,需要あり×空白あり（低品質率=82%／中央値21分）
オーパーツ,狙う,0.5130,0.9634,0.7589,0.6000,701724,6345754,34,18,0.667,1285,1,518244,0.000,需要あり×空白あり（低品質率=67%／中央値21分）
死海文書,条件付き,0.4367,0.8693,0.5667,0.6222,282041,6781502,22,18,0.717,1170,3,30348,0.017,需要あり×空白あり（低品質率=72%／中央値19分）
モヘンジョダロ,見送り,0.2787,0.5235,0.3833,0.6222,9917,2263823,7,7,0.533,685,3,1234981,0.017,
地上絵,見送り,0.2703,0.7915,0.2222,0.6444,132783,5760525,17,16,0.483,1040,4,162548,0.033,"真面目な長尺が既に埋めている（4本・最高162,548再生）"
不気味,見送り,0.2416,0.9631,0.1684,0.6000,699645,7568760,42,31,0.655,1377,5,4843035,0.000,"真面目な長尺が既に埋めている（5本・最高4,843,035再生）"
巨石遺跡,見送り,0.2243,0.8389,0.1667,0.6000,210126,1808370,24,20,0.650,1450,5,1808370,0.000,"真面目な長尺が既に埋めている（5本・最高1,808,370再生）"
月面着陸,見送り,0.2128,0.9431,0.1333,0.6000,576304,30230880,33,28,0.350,556,4,4066398,0.000,"真面目な長尺が既に埋めている（4本・最高4,066,398再生）"
ストーンヘンジ,見送り,0.1747,0.6938,0.1222,0.6000,51569,35719025,13,10,0.333,607,4,810672,0.000,"真面目な長尺が既に埋めている（4本・最高810,672再生）"
法隆寺,見送り,0.0893,0.7411,0.0278,0.6222,81541,19143866,12,10,0.233,747,5,104661,0.017,"真面目な長尺が既に埋めている（5本・最高104,661再生）"
国家機密,見送り,0.0840,0.7063,0.0278,0.6000,58201,1277855,10,8,0.233,922,5,720847,0.000,"真面目な長尺が既に埋めている（5本・最高720,847再生）"
ピラミッド,見送り,0.0000,0.9939,0.0000,0.6222,942536,262667517,39,26,0.567,1940,11,2120333,0.017,"真面目な長尺が既に埋めている（11本・最高2,120,333再生）"
シュメール,見送り,0.0000,0.8918,0.0000,0.6000,350950,5621483,33,25,0.733,1617,7,5621483,0.000,"真面目な長尺が既に埋めている（7本・最高5,621,483再生）"
キリスト,見送り,0.0000,0.9288,0.0000,0.6000,501775,1942438,43,32,0.300,1804,24,775498,0.000,"真面目な長尺が既に埋めている（24本・最高775,498再生）"
スフィンクス,見送り,0.0000,0.8608,0.0000,0.6222,259897,10575001,27,20,0.583,1278,7,2825708,0.017,"真面目な長尺が既に埋めている（7本・最高2,825,708再生）"
アトランティス,見送り,0.0000,1.0000,0.0000,0.6222,1101610,142415166,36,30,0.233,779,12,32213862,0.017,"真面目な長尺が既に埋めている（12本・最高32,213,862再生）"
大洪水,見送り,0.0000,0.8959,0.0000,0.6000,365158,7825652,26,17,0.067,207,11,938073,0.000,"真面目な長尺が既に埋めている（11本・最高938,073再生）"
ギョベクリ,見送り,0.0000,0.5010,0.0000,0.6222,29003,1943239,5,4,0.483,968,8,18663,0.017,"真面目な長尺が既に埋めている（8本・最高18,663再生）"
インダス,見送り,0.0000,0.6758,0.0000,0.6000,43319,1827799,13,13,0.300,765,7,1678126,0.000,"真面目な長尺が既に埋めている（7本・最高1,678,126再生）"
縄文人,見送り,0.0000,0.9643,0.0000,0.6000,708053,5473892,45,37,0.517,1538,15,3467797,0.000,"真面目な長尺が既に埋めている（15本・最高3,467,797再生）"
粘土板,見送り,0.0000,0.5355,0.0000,0.6222,11142,1114836,7,7,0.317,971,9,182325,0.017,"真面目な長尺が既に埋めている（9本・最高182,325再生）"
モンゴル,見送り,0.0000,0.9763,0.0000,0.6000,795221,143495213,43,31,0.300,1810,24,1676838,0.000,"真面目な長尺が既に埋めている（24本・最高1,676,838再生）"
物理学,見送り,0.0000,1.0000,0.0000,0.6000,1132581,3430634,50,19,0.367,3501,36,3130726,0.000,"真面目な長尺が既に埋めている（36本・最高3,130,726再生）"
マチュピチュ,見送り,0.0000,0.8049,0.0000,0.6000,151244,3564010,18,15,0.200,1221,19,1237292,0.000,"真面目な長尺が既に埋めている（19本・最高1,237,292再生）"
邪馬台国,見送り,0.0000,0.8275,0.0000,0.6222,188153,947757,22,17,0.500,1617,11,947757,0.017,"真面目な長尺が既に埋めている（11本・最高947,757再生）"
アヌンナキ,見送り,0.0000,0.8197,0.0000,0.6000,174500,4191559,19,13,0.767,1360,7,57211,0.000,"真面目な長尺が既に埋めている（7本・最高57,211再生）"
太陽系,見送り,0.0000,0.9565,0.0000,0.6000,656169,16606936,36,24,0.467,1887,12,2119174,0.000,"真面目な長尺が既に埋めている（12本・最高2,119,174再生）"
最古級,見送り,0.0000,0.7041,0.0000,0.6000,56985,568849,13,12,0.350,802,8,249373,0.000,"真面目な長尺が既に埋めている（8本・最高249,373再生）"
ファイストス,見送り,0.0000,0.0000,0.5278,0.6000,1468,92188,0,0,0.467,587,1,69,0.000,"需要が薄い（上位25%再生=1,468／100k超えCh=0）"
アポロ計画,見送り,0.0000,0.9431,0.0000,0.6000,576304,6500988,32,26,0.567,1085,11,5107854,0.000,"真面目な長尺が既に埋めている（11本・最高5,107,854再生）"
バチカン,見送り,0.0000,0.8383,0.0000,0.6000,209007,5912773,21,19,0.228,1184,19,2765717,0.000,"真面目な長尺が既に埋めている（19本・最高2,765,717再生）"
新選組,見送り,0.0000,0.8422,0.0000,0.6222,217062,1817847,29,28,0.283,1061,13,1219839,0.017,"真面目な長尺が既に埋めている（13本・最高1,219,839再生）"
アマゾン,見送り,0.0000,0.9553,0.0000,0.6000,648511,20080193,34,30,0.300,1440,17,6385090,0.000,"真面目な長尺が既に埋めている（17本・最高6,385,090再生）"
ネアンデルタール,見送り,0.0000,0.8086,0.0000,0.6000,156701,5473892,23,17,0.450,1078,10,992064,0.000,"真面目な長尺が既に埋めている（10本・最高992,064再生）"
古事記,見送り,0.0000,0.8698,0.0000,0.6000,283452,3181397,33,22,0.217,2742,28,3181397,0.000,"真面目な長尺が既に埋めている（28本・最高3,181,397再生）"
青銅器,見送り,0.0000,0.3743,0.0000,0.6000,16219,2481837,4,3,0.119,646,7,42770,0.000,"真面目な長尺が既に埋めている（7本・最高42,770再生）"
反重力,見送り,0.0000,0.8562,0.0000,0.6000,248623,6007121,21,20,0.467,1058,8,320030,0.000,"真面目な長尺が既に埋めている（8本・最高320,030再生）"
ザビエル,見送り,0.0000,0.8285,0.0000,0.6222,190019,101774934,19,18,0.267,612,7,470026,0.017,"真面目な長尺が既に埋めている（7本・最高470,026再生）"
数百万人,見送り,0.0000,0.9811,0.0000,0.6000,832686,5090620,45,35,0.000,419,8,1793536,0.000,"真面目な長尺が既に埋めている（8本・最高1,793,536再生）"
ブラックホール,見送り,0.0000,0.9225,0.0000,0.6000,472049,28113233,33,23,0.317,1513,21,1967502,0.000,"真面目な長尺が既に埋めている（21本・最高1,967,502再生）"
イースター,見送り,0.0000,0.9618,0.0000,0.6000,690587,12091202,35,28,0.083,725,12,8433437,0.000,"真面目な長尺が既に埋めている（12本・最高8,433,437再生）"
シミュレーション,見送り,0.0000,0.8948,0.0000,0.6444,361296,32401770,27,23,0.133,891,13,3329162,0.033,"真面目な長尺が既に埋めている（13本・最高3,329,162再生）"
